id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
355;376;25;62;20;37;22;7;28;23;79;60;19;207;2.6203;10;1;3;1;100;1506;15;117;1.17;217;379;255;37;87;213;106.5;0.5;1;1;0.5;2;0;0;11.70000017;5.850000083;12.4000001;6.200000048;2;1;1;781;2
358;14530;686;766;285;198;99;44;99;89;100;79;21;61;0.61;0;0;0;0;100;229;2.29;78;0.78;201;402;338;27;37;984;328;0;0;9;3;1;1;0.3333;69.49999857;23.16666619;39.90000081;13.30000027;9;1;1;3011;1
361;53;1;0;0;2;1;0;2;0;17;10;7;20;1.1765;1;0;1;0;73;916;12.5479;130;1.7808;212;24;21;3;0;877;438.5;2.5;5;15;7.5;3;0;0;9.299999952;4.649999976;9.899999976;4.949999988;20;1;1;156;3
364;122;32;94;34;26;18;6;24;23;100;79;21;653;6.53;0;0;0;0;81;865;10.679;108;1.3333;188;182;160;15;7;3956;3956;3;3;79;79;3;2;2;17.29999924;17.29999924;429;429;82;1;1;125;3
374;73;0;15;1;6;0;1;9;4;9;6;3;35;3.8889;0;0;0;0;100;421;4.21;162;1.62;214;50;40;6;4;445;148.3333;0.3333;1;3;1;1.666666667;0;0;9.099999815;3.033333272;17.5999999;5.866666635;4;1;1;360;1.666666667
377;32;1;1;1;5;1;1;3;1;100;82;18;422;4.22;292;10;225;18;59;3081;52;487;8.2542;114;37;25;7;5;9545;9545;7;7;327;327;5;4;4;21.20000076;21.20000076;47.20000076;47.20000076;334;1;1;598;5
379;1417;74;158;45;58;29;18;36;33;100;63;37;251;2.51;25;1;18;2;100;602;6.02;62;0.62;280;248;157;48;43;4284;2142;0.5;1;12;6;2;3;1.5;30.79999924;15.39999962;28.0999999;14.04999995;13;1;1;1019;2
387;2237;144;113;78;78;40;28;24;55;100;86;14;188;1.88;2;0;2;0;100;977;9.77;102;1.02;274;118;86;24;8;15492;15492;6085;6085;113;113;4;22;22;0.899999976;0.899999976;7;7;6198;1;1;1333;4
394;53;4;2;0;6;4;0;3;2;100;66;34;337;3.37;46;2;41;1;100;1232;12.32;194;1.94;249;123;71;33;19;16338;8169;43.5;87;88;44;2;0;0;32.59999943;16.29999971;26.79999924;13.39999962;175;1;1;82;2
395;344;58;50;0;16;4;0;13;5;81;44;37;156;1.9259;33;0;33;0;53;1084;20;139;2.6226;171;26;20;5;1;332;332;0;0;2;2;1;0;0;8.300000191;8.300000191;27;27;2;1;1;97;1
401;171;1;2;1;7;1;1;0;1;100;78;22;36;0.36;0;0;0;0;39;4156;107;134;3.4359;74;67;39;13;15;3998;1332.6667;0.6667;2;121;40.3333;2.333333333;10;3.3333;40.30000114;13.43333371;40.89999962;13.63333321;123;1;1;119;2.333333333
405;72;5;0;1;5;2;1;0;0;100;51;49;56;0.56;0;0;0;0;100;17204;172;588;5.88;152;236;182;31;23;4055;1351.6667;0.6667;2;26;8.6667;1.666666667;8;2.6667;53.10000038;17.70000013;39.80000019;13.26666673;28;1;1;4478;1.666666667
411;165;4;28;77;14;4;10;11;10;17;14;3;29;1.7059;1;0;1;0;100;5345;53;210;2.1;216;152;61;18;73;315;157.5;0;0;9;4.5;1;0;0;56.10000038;28.05000019;31.70000076;15.85000038;9;1;1;288;1
418;79;55;6;1;13;40;1;8;5;100;96;4;627;6.27;8;0;8;0;100;437;4.37;135;1.35;275;25;8;7;10;658;658;10;10;3;3;3;5;5;33.79999924;33.79999924;0.600000024;0.600000024;13;1;1;77;3
421;249;15;21;2;12;7;2;12;6;58;47;11;169;2.9138;4;0;4;0;57;1022;18;273;4.7895;206;300;263;26;11;167;167;0;0;6;6;1;0;0;14.80000019;14.80000019;15;15;6;1;1;315;1
466;12;0;5;0;2;0;0;0;1;13;9;4;26;2;3;0;3;0;47;688;15;83;1.766;90;178;144;19;15;618;309;1;2;26;13;2;3;1.5;20.70000029;10.35000014;20.10000038;10.05000019;28;1;1;15;2
468;46;2;2;1;2;2;1;5;2;6;3;3;23;3.8333;0;0;0;0;51;1444;28;46;0.902;98;44;42;1;1;1253;1253;37;37;2;2;5;0;0;0.600000024;0.600000024;2.099999905;2.099999905;39;1;1;123;5
472;3671;250;536;467;173;54;43;100;113;100;69;31;190;1.9;0;0;0;0;100;2041;20;139;1.39;251;153;105;18;30;1963;1963;2;2;8;8;5;1;1;3.400000095;3.400000095;10.5;10.5;10;1;1;4377;5
476;14;2;0;0;4;2;0;5;0;20;14;6;37;1.85;0;0;0;0;55;642;11.6727;113;2.0545;148;31;8;16;7;95;95;0;0;4;4;1;0;0;20.79999924;20.79999924;24;24;4;1;1;142;1
485;79;1;3;0;7;1;0;7;3;49;30;19;60;1.2245;12;0;12;0;70;1535;22;101;1.4429;175;49;27;3;19;389;389;0;0;4;4;1;0;0;8;8;11.89999962;11.89999962;4;1;1;85;1
488;0;0;0;0;0;0;0;0;0;2;0;2;2;1;0;0;0;0;65;1032;16;120;1.8462;145;0;0;0;0;6463;6463;77;77;107;107;4;0;0;7.800000191;7.800000191;177.6999969;177.6999969;185;1;4;75;4
493;327;6;29;24;15;3;12;10;8;100;99;1;657;6.57;0;0;0;0;100;11540;115;527;5.27;247;440;305;108;27;43032;43032;6;6;298;298;3;30;30;15.19999981;15.19999981;62.09999847;62.09999847;304;1;1;4960;3
497;160;2;0;0;12;2;0;4;0;57;51;6;357;6.2632;20;0;20;0;39;2391;61;98;2.5128;53;66;36;22;8;327;327;1;1;0;0;3;0;0;8.100000381;8.100000381;5.199999809;5.199999809;1;1;1;111;3
498;255;2;5;4;10;2;2;8;1;7;4;3;16;2.2857;7;0;7;0;39;2398;61;153;3.9231;130;161;149;8;4;541;541;0;0;9;9;1;0;0;19.5;19.5;16.29999924;16.29999924;9;1;1;41;1
499;10;1;5;2;5;1;2;3;4;72;56;16;1096;15.2222;50;6;36;0;41;20112;491;868;21.1707;57;266;107;88;71;716;716;1;1;1;1;3;0;0;1.200000048;1.200000048;11;11;2;1;1;2123;3
506;32;2;0;0;1;2;0;12;0;4;2;2;4;1;0;0;0;0;84;473;5.631;119;1.4167;192;18;16;0;2;8;8;0;0;0;0;1;0;0;0;0;2;2;0;1;1;19;1
527;10;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;45;565;12.5556;154;3.4222;120;4;3;0;1;429;429;0;0;10;10;1;4;4;4.900000095;4.900000095;11;11;10;1;1;180;1
531;1702;28;161;65;70;23;16;46;48;100;100;0;750;7.5;0;0;0;0;100;751;7.51;143;1.43;241;187;169;9;9;75588;75588;296;296;1063;1063;5;20;20;6.099999905;6.099999905;12.39999962;12.39999962;1360;1;5;276;5
535;56;0;0;1;4;0;1;3;0;11;10;1;26;2.3636;3;0;3;0;86;606;7.0465;132;1.5349;151;54;35;12;7;69;69;0;0;0;0;1;0;0;1.399999976;1.399999976;3.700000048;3.700000048;0;1;1;89;1
550;553;3;46;160;73;3;4;39;14;41;39;2;170;4.1463;22;0;21;0;100;942;9.42;100;1;180;436;223;57;156;800;800;0;0;2;2;1;0;0;4.800000191;4.800000191;2.900000095;2.900000095;2;1;1;199;1
551;136;16;58;3;21;14;3;13;24;100;58;42;284;2.84;3;1;1;0;64;2848;45;157;2.4531;128;408;291;102;15;248;248;0;0;2;2;1;0;0;8.800000191;8.800000191;29;29;2;1;1;93;1
553;0;1;0;0;0;1;0;39;0;9;5;4;97;10.7778;1;0;1;0;100;150;1.5;109;1.09;373;0;0;0;0;6198;6198;4;4;231;231;5;2;2;33.20000076;33.20000076;31.29999924;31.29999924;235;1;1;330;5
558;244;13;11;0;17;3;0;7;7;36;31;5;76;2.1111;5;0;5;0;100;804;8.04;366;3.66;227;63;45;11;7;6815;6815;57;57;63;63;4;0;0;3.400000095;3.400000095;12.80000019;12.80000019;120;1;1;270;4
565;41;4;0;0;4;2;0;7;0;56;52;4;77;1.375;0;0;0;0;51;2926;57;195;3.8235;88;198;141;25;32;1243;1243;7;7;19;19;3;1;1;8.600000381;8.600000381;10.19999981;10.19999981;26;1;1;258;3
574;290;14;65;22;5;7;6;0;4;42;26;16;43;1.0238;21;0;20;1;92;4256;46;266;2.8913;261;379;287;65;27;272;272;0;0;3;3;1;0;0;9.300000191;9.300000191;12.30000019;12.30000019;3;1;1;385;1
580;271;4;22;8;11;3;3;9;2;37;31;6;127;3.4324;57;4;42;7;85;22756;268;653;7.6824;235;306;160;116;30;2080;1040;1;2;21;10.5;2.5;3;1.5;8.299999952;4.149999976;19.5;9.75;23;1;1;930;2.5
584;29;31;7;1;16;2;1;11;3;100;71;29;220;2.2;4;0;4;0;100;18929;189;627;6.27;223;342;157;116;69;3925;1962.5;0;0;181;90.5;1;13;6.5;10.19999957;5.099999785;54.00000143;27.00000072;181;1;1;1641;1
589;702;24;152;276;27;7;20;17;13;100;81;19;478;4.78;158;12;125;18;100;17452;175;559;5.59;223;1092;726;233;133;4576;1144;0.25;1;68;17;1.5;2;0.5;12.39999962;3.099999905;48.90000105;12.22500026;69;1;1;1307;1.5
604;588;15;16;3;32;12;3;17;13;100;85;15;423;4.23;0;0;0;0;100;196;1.96;118;1.18;220;63;56;5;2;98501;32833.6667;9.6667;29;594;198;4;130;43.3333;8.700000048;2.900000016;64.20000076;21.40000025;623;1;1;2353;4
612;92;17;67;18;6;1;1;3;3;100;83;17;115;1.15;0;0;0;0;100;1134;11.34;157;1.57;200;1226;1131;83;12;12542;6271;49.5;99;282;141;2;9;4.5;48.10000038;24.05000019;194.3000031;97.15000153;381;1.5;1;203;2
618;97;0;0;0;8;0;0;5;0;63;1;62;14;0.2222;216;49;62;51;21;1360;65;42;2;58;7;0;1;6;2037;2037;3;3;79;79;3;4;4;32.29999924;32.29999924;16.20000076;16.20000076;82;1;1;133;3
629;118;9;4;0;15;8;0;20;3;100;76;24;401;4.01;3;0;3;0;69;17993;261;1333;19.3188;146;316;178;81;57;2509;2509;3;3;114;114;2;0;0;21.79999924;21.79999924;26;26;117;1;1;4431;2
