qtdActivityPostAnswer;QtdfActivityBadgeEarned;QtdActivityCommentPosted;qtsActivityQUestionPosted;qtdANswe;qtdTotalScoreAnswer;avgScoreANsw;qtdTotalBadges;QtdTotalBadgesBronze;qtdTotalBadgesSilver;qtdTotalBadgesGo;qtdComment;qtdTotalScoreCommen;AvgScoreCommen;qtdQuestion;QtdTotalScoreQuesdti;avgScoreQuesti;QtdTotalViewsQuestion;avgQTdViewsQUesti;userScore;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers
5;3;0;1;1;0;0;3;3;0;0;2;0;0;2;1;0,5;1728;864;3;90;0;0;0;21;0;0;0;0;3;3;0;3;1;7;0;7;0;38;55454;1459;2144;56,42;130;185;108;47;30;265;265;0;0;7;7;1;0;0;23;23;10,2;10,2;7;1;1;5086
3;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;800;66;202;440;24;11;23;25;13;100;66;34;239;2,39;11;0;11;0;100;2807;28;155;1,55;331;540;461;70;9;6145;3072,5;0;0;22;11;1;16;8;33,1;16,55;52,7;26,35;22;1;1;148
18;9;3;6;13;47;3,62;34;20;13;1;20;1;0,05;7;81;11,57;76153;10879;36;105;2;47;6;21;1;5;13;12;53;50;3;216;4,08;183;22;123;30;100;11531;115;628;6,28;272;494;312;97;85;935;467,5;1;2;20;10;2;2;1;26,4;13,2;8,9;4,45;22;1;1;2160
0;0;0;0;21;87;4,14;12;6;6;0;11;11;1;0;0;0;0;0;29;50;9;2;12;9;3;3;4;2;100;79;21;438;4,38;9;0;9;0;68;1006;15;132;1,94;111;30;19;7;4;126;126;0;0;1;1;1;0;0;2,3;2,3;1,5;1,5;1;1;1;405
5;3;1;0;2;2;1;19;13;4;2;24;1;0,04;6;34;5,67;63888;10648;15;20;1;36;3;8;1;2;4;3;4;1;3;7;1,75;2;0;2;0;41;11227;274;433;10,56;76;226;148;59;19;95;95;0;0;4;4;1;0;0;5;5;4;4;4;1;1;2293
0;0;0;0;2;0;0;10;9;1;0;13;1;0,08;10;5;0,5;7674;767,4;24;500;5;299;226;22;5;4;25;13;62;55;7;265;4,27;8;1;7;0;100;22;0;90;0,9;251;133;82;17;34;125;125;5;5;1;1;3;0;0;8,1;8,1;5;5;6;1;1;120
0;0;0;0;8;8;1;3;2;1;0;0;0;0;0;0;0;0;0;14;289;1;26;40;18;1;14;5;8;16;16;0;26;1,63;4;0;4;0;86;4324;50;300;3,49;182;537;471;53;13;6616;3308;0,5;1;165;82,5;2;0;0;19,6;9,8;7,8;3,9;166;1;1;304
5;3;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;174;0;0;0;6;0;0;3;0;2;1;1;4;2;0;0;0;0;8;1295;162;129;16,13;16;20;9;11;0;34;34;1;1;0;0;3;0;0;5,6;5,6;1,5;1,5;1;1;1;638
1;1;0;0;6;6;1;6;6;0;0;2;0;0;0;0;0;0;0;12;131;2;2;1;9;2;1;1;1;100;88;12;221;2,21;0;0;0;0;35;6415;183;317;9,06;62;356;263;86;7;1951;1951;18;18;36;36;5;0;0;14,1;14,1;12,6;12,6;54;1;1;267
0;0;0;0;2;0;0;2;2;0;0;0;0;0;1;0;0;1807;1807;6;40;0;1;0;7;0;0;14;1;100;87;13;615;6,15;4;0;3;0;100;2119;21;143;1,43;229;146;80;41;25;526;526;3;3;7;7;2;0;0;24,7;24,7;4,6;4,6;10;1;1;428
